model,event,mw_catalog,final_mw,final_abs_error,stable_observation_sec,stable_release_sec,station_count_200s
phase39,Iquique 2014 M7.7,7.699999809265137,7.552301058688192,0.1476987505769447,193,199.0,11
phase39,Kodiak 2018 M7.9,7.900000095367432,7.859626559672003,0.04037353569542823,167,173.0,64
phase39,Luding 2022 M6.6,6.599999904632568,7.0684426209790985,0.4684427163465301,,,6
phase39,Mandalay 2025 M7.7,7.699999809265137,7.652294187741406,0.04770562152373081,187,193.0,12
phase39,Nepal 2015 M7.3,7.300000190734863,7.20728195879539,0.09271823193947348,176,182.0,5
phase39,Samos 2020 M7.0,7.0,6.830374390703455,0.1696256092965447,,,3
phase39,Sand 2025 M7.3,7.300000190734863,7.23757968413244,0.06242050660242349,112,118.0,45
phase39,Xizang 2025 M7.1,7.099999904632568,7.2529136116403565,0.15291370700778817,,,12
phase47,Iquique 2014 M7.7,7.699999809265137,7.4389915169582235,0.26100829230691325,,,11
phase47,Kodiak 2018 M7.9,7.900000095367432,7.932973144189834,0.03297304882240226,101,107.0,64
phase47,Luding 2022 M6.6,6.599999904632568,7.462532783168189,0.862532878535621,,,6
phase47,Mandalay 2025 M7.7,7.699999809265137,7.909767649216073,0.20976783995093662,,,12
phase47,Nepal 2015 M7.3,7.300000190734863,7.087103670619819,0.21289652011504412,,,5
phase47,Samos 2020 M7.0,7.0,6.790741785675198,0.20925821432480163,,,3
phase47,Sand 2025 M7.3,7.300000190734863,7.875051053408269,0.5750508626734057,,,45
phase47,Xizang 2025 M7.1,7.099999904632568,7.8470858802599075,0.7470859756273391,,,12
phase48,Iquique 2014 M7.7,7.699999809265137,7.526182625543293,0.17381718372184363,,,11
phase48,Kodiak 2018 M7.9,7.900000095367432,7.908437350276459,0.008437254909027025,84,90.0,64
phase48,Luding 2022 M6.6,6.599999904632568,7.063929657932956,0.46392975330038766,,,6
phase48,Mandalay 2025 M7.7,7.699999809265137,7.962137833049969,0.2621380237848321,,,12
phase48,Nepal 2015 M7.3,7.300000190734863,7.079476094723201,0.2205240960116619,,,5
phase48,Samos 2020 M7.0,7.0,6.862263561818066,0.1377364381819337,182,188.0,3
phase48,Sand 2025 M7.3,7.300000190734863,7.6700186309782845,0.37001844024342123,,,45
phase48,Xizang 2025 M7.1,7.099999904632568,7.265614375976353,0.16561447134378504,,,12
