observation_horizon_sec,release_time_sec,event_count,total_event_count,coverage,coverage_fraction,available_station_count,unavailable_station_count,unavailable_reason_counts,event_equal_mae,event_equal_rmse,event_equal_bias,within_target_event_count,within_target_event_fraction
1.0,6.0,5,8,5,0.625,128,30,"{""pre_p_baseline_not_available"": 30}",0.81334303855896,0.8680007778626578,-0.81334303855896,0,0.0
2.0,7.0,5,8,5,0.625,128,30,"{""pre_p_baseline_not_available"": 30}",0.8127755546569825,0.8675968772705857,-0.8127755546569825,0,0.0
3.0,8.0,5,8,5,0.625,128,30,"{""pre_p_baseline_not_available"": 30}",0.8125608825683595,0.8673636374510498,-0.8125608825683595,0,0.0
4.0,9.0,5,8,5,0.625,128,30,"{""pre_p_baseline_not_available"": 30}",0.8113693141937256,0.865861827459226,-0.8113693141937256,0,0.0
5.0,10.0,6,8,6,0.75,129,29,"{""pre_p_baseline_not_available"": 29}",0.8030665000279744,0.8491284738339088,-0.8030665000279744,0,0.0
6.0,11.0,6,8,6,0.75,129,29,"{""pre_p_baseline_not_available"": 29}",0.8017411708831786,0.847527500696724,-0.8017411708831786,0,0.0
7.0,12.0,6,8,6,0.75,129,29,"{""pre_p_baseline_not_available"": 29}",0.797892697652181,0.8442211109000752,-0.797892697652181,0,0.0
8.0,13.0,6,8,6,0.75,129,29,"{""pre_p_baseline_not_available"": 29}",0.7983744621276855,0.8457094967774647,-0.7983744621276855,0,0.0
9.0,14.0,7,8,7,0.875,130,28,"{""pre_p_baseline_not_available"": 28}",0.6877298627580916,0.7836161758156975,-0.6802537645612443,1,0.14285714285714285
10.0,15.0,7,8,7,0.875,131,27,"{""pre_p_baseline_not_available"": 27}",0.683851671218872,0.7841307303378439,-0.683851671218872,1,0.14285714285714285
11.0,16.0,7,8,7,0.875,131,27,"{""pre_p_baseline_not_available"": 27}",0.6783037730625697,0.7790048600132905,-0.6783037730625697,1,0.14285714285714285
12.0,17.0,7,8,7,0.875,131,27,"{""pre_p_baseline_not_available"": 27}",0.6754235812595912,0.773895496926126,-0.6727380616324288,1,0.14285714285714285
13.0,18.0,7,8,7,0.875,131,27,"{""pre_p_baseline_not_available"": 27}",0.6652242047446115,0.7602786914808447,-0.6566869395119802,1,0.14285714285714285
