event,event_label_zh,mw_catalog,n_stations,method,method_label_zh,mw_pred_median,error_vs_catalog,abs_error_vs_catalog,observation_horizon_sec,release_time_sec
Iquique 2014 M7.7,伊基克 2014,7.7,11,phase27,本文模型（Phase27）,7.385664939880371,-0.3143350601196291,0.3143350601196291,200.0,205.0
Iquique 2014 M7.7,伊基克 2014,7.7,11,crowell,Crowell PGD,7.477520176083207,-0.22247982391679333,0.22247982391679333,200.0,205.0
Iquique 2014 M7.7,伊基克 2014,7.7,11,melgar,Melgar PGD,7.31321747310166,-0.38678252689834025,0.38678252689834025,200.0,205.0
Iquique 2014 M7.7,伊基克 2014,7.7,11,ruhl,Ruhl PGD,7.113498710496464,-0.586501289503536,0.586501289503536,200.0,205.0
Nepal 2015 M7.3,尼泊尔 2015,7.3,5,phase27,本文模型（Phase27）,7.082930564880371,-0.21706943511962873,0.21706943511962873,200.0,205.0
Nepal 2015 M7.3,尼泊尔 2015,7.3,5,crowell,Crowell PGD,7.165665965014056,-0.13433403498594387,0.13433403498594387,200.0,205.0
Nepal 2015 M7.3,尼泊尔 2015,7.3,5,melgar,Melgar PGD,7.1258091340542835,-0.1741908659457163,0.1741908659457163,200.0,205.0
Nepal 2015 M7.3,尼泊尔 2015,7.3,5,ruhl,Ruhl PGD,6.921543403298452,-0.37845659670154763,0.37845659670154763,200.0,205.0
Kodiak 2018 M7.9,科迪亚克 2018,7.9,46,phase27,本文模型（Phase27）,8.038925647735596,0.13892564773559535,0.13892564773559535,200.0,205.0
Kodiak 2018 M7.9,科迪亚克 2018,7.9,46,crowell,Crowell PGD,8.104937890339794,0.20493789033979404,0.20493789033979404,200.0,205.0
Kodiak 2018 M7.9,科迪亚克 2018,7.9,46,melgar,Melgar PGD,7.738288919094179,-0.1617110809058211,0.1617110809058211,200.0,205.0
Kodiak 2018 M7.9,科迪亚克 2018,7.9,46,ruhl,Ruhl PGD,7.61396243201772,-0.2860375679822802,0.2860375679822802,200.0,205.0
Samos 2020 M7.0,萨摩斯 2020,7.0,3,phase27,本文模型（Phase27）,6.897000789642334,-0.10299921035766602,0.10299921035766602,200.0,205.0
Samos 2020 M7.0,萨摩斯 2020,7.0,3,crowell,Crowell PGD,6.868446593409298,-0.1315534065907018,0.1315534065907018,200.0,205.0
Samos 2020 M7.0,萨摩斯 2020,7.0,3,melgar,Melgar PGD,6.714317915949279,-0.2856820840507206,0.2856820840507206,200.0,205.0
Samos 2020 M7.0,萨摩斯 2020,7.0,3,ruhl,Ruhl PGD,6.481382342961238,-0.518617657038762,0.518617657038762,200.0,205.0
Xizang 2025 M7.1,西藏 2025,7.1,2,phase27,本文模型（Phase27）,7.138725519180298,0.03872551918029821,0.03872551918029821,200.0,205.0
Xizang 2025 M7.1,西藏 2025,7.1,2,crowell,Crowell PGD,7.07434478027883,-0.025655219721169686,0.025655219721169686,200.0,205.0
Xizang 2025 M7.1,西藏 2025,7.1,2,melgar,Melgar PGD,6.87544107369148,-0.2245589263085197,0.2245589263085197,200.0,205.0
Xizang 2025 M7.1,西藏 2025,7.1,2,ruhl,Ruhl PGD,6.657370268275452,-0.4426297317245478,0.4426297317245478,200.0,205.0
Mandalay 2025 M7.7,曼德勒 2025,7.7,5,phase27,本文模型（Phase27）,7.838203430175781,0.13820343017578107,0.13820343017578107,200.0,205.0
Mandalay 2025 M7.7,曼德勒 2025,7.7,5,crowell,Crowell PGD,7.985514148522388,0.2855141485223882,0.2855141485223882,200.0,205.0
Mandalay 2025 M7.7,曼德勒 2025,7.7,5,melgar,Melgar PGD,7.735552572135627,0.0355525721356269,0.0355525721356269,200.0,205.0
Mandalay 2025 M7.7,曼德勒 2025,7.7,5,ruhl,Ruhl PGD,7.601433335958256,-0.09856666404174419,0.09856666404174419,200.0,205.0
Sand 2025 M7.3,桑德角 2025,7.3,4,phase27,本文模型（Phase27）,7.156365871429443,-0.14363412857055646,0.14363412857055646,200.0,205.0
Sand 2025 M7.3,桑德角 2025,7.3,4,crowell,Crowell PGD,7.1169947920661425,-0.18300520793385733,0.18300520793385733,200.0,205.0
Sand 2025 M7.3,桑德角 2025,7.3,4,melgar,Melgar PGD,6.873148003397862,-0.4268519966021378,0.4268519966021378,200.0,205.0
Sand 2025 M7.3,桑德角 2025,7.3,4,ruhl,Ruhl PGD,6.657164665488241,-0.6428353345117586,0.6428353345117586,200.0,205.0
