event,mw_catalog,magnitude_group,n_stations_200s,mw_pred_median_200s,error_200s,abs_error_200s,within_0p15_200s
Lefkada2015,6.5,mw_lt_7,1,5.935489654541016,-0.5645103454589844,0.5645103454589844,False
Nicoya2012,7.599999904632568,mw_7_to_lt_8,1,7.194178581237793,-0.4058213233947754,0.4058213233947754,False
Anchorage2018,7.099999904632568,mw_7_to_lt_8,1,7.36749267578125,0.26749277114868164,0.26749277114868164,False
Tehuantepec2017,8.199999809265137,mw_ge_8,1,7.945397853851318,-0.25460195541381836,0.25460195541381836,False
Kaikoura2016,7.800000190734863,mw_7_to_lt_8,4,8.019790410995483,0.21979022026062012,0.21979022026062012,False
Illapel2015,8.300000190734863,mw_ge_8,4,8.083324909210205,-0.2166752815246582,0.2166752815246582,False
SandPoint2020,7.599999904632568,mw_7_to_lt_8,1,7.816514492034912,0.21651458740234375,0.21651458740234375,False
RatIslands2014,7.900000095367432,mw_7_to_lt_8,1,7.695836544036865,-0.2041635513305664,0.2041635513305664,False
Ecuador2016,7.800000190734863,mw_7_to_lt_8,3,7.9907379150390625,0.19073772430419922,0.19073772430419922,False
Simeonof2020,7.800000190734863,mw_7_to_lt_8,3,7.974776268005371,0.1747760772705078,0.1747760772705078,False
Napa2014,6.019999980926514,mw_lt_7,3,6.175254821777344,0.15525484085083008,0.15525484085083008,False
Aegean2014,6.900000095367432,mw_lt_7,1,6.756337642669678,-0.1436624526977539,0.1436624526977539,True
Chignic2021,8.199999809265137,mw_ge_8,6,8.080399513244629,-0.11960029602050781,0.11960029602050781,True
Miyagi2011B,7.099999904632568,mw_7_to_lt_8,7,7.2014923095703125,0.10149240493774414,0.10149240493774414,True
Iquique2014,8.199999809265137,mw_ge_8,3,8.09937572479248,-0.10062408447265625,0.10062408447265625,True
Eureka2014,6.800000190734863,mw_lt_7,1,6.897702693939209,0.0977025032043457,0.0977025032043457,True
Melinka2016,7.599999904632568,mw_7_to_lt_8,1,7.696258544921875,0.09625864028930664,0.09625864028930664,True
Maule2010,8.800000190734863,mw_ge_8,3,8.893668174743652,0.09366798400878906,0.09366798400878906,True
ElMayor2010,7.199999809265137,mw_7_to_lt_8,13,7.1232452392578125,-0.07675457000732422,0.07675457000732422,True
Kilauea2018,6.900000095367432,mw_lt_7,2,6.964858531951904,0.06485843658447266,0.06485843658447266,True
Miyagi2011A,7.300000190734863,mw_7_to_lt_8,13,7.241808891296387,-0.05819129943847656,0.05819129943847656,True
Nepal2015,7.800000190734863,mw_7_to_lt_8,1,7.742308616638184,-0.05769157409667969,0.05769157409667969,True
Parkfield2004,5.96999979019165,mw_lt_7,2,5.922362804412842,-0.047636985778808594,0.047636985778808594,True
Noto2024,7.5,mw_7_to_lt_8,56,7.538020610809326,0.03802061080932617,0.03802061080932617,True
Tohoku2011,9.100000381469727,mw_ge_8,103,9.135103225708008,0.03510284423828125,0.03510284423828125,True
Ibaraki2011,7.900000095367432,mw_7_to_lt_8,76,7.934218168258667,0.03421807289123535,0.03421807289123535,True
Kumamoto2016,7.0,mw_7_to_lt_8,24,7.027714729309082,0.02771472930908203,0.02771472930908203,True
Mentawai2010,7.800000190734863,mw_7_to_lt_8,1,7.779576778411865,-0.020423412322998047,0.020423412322998047,True
Tokachi2003,8.15999984741211,mw_ge_8,34,8.178587436676025,0.018587589263916016,0.018587589263916016,True
Ridgecrest2019,7.099999904632568,mw_7_to_lt_8,15,7.083926200866699,-0.01607370376586914,0.01607370376586914,True
