observation_horizon_sec,release_time_sec,magnitude_group,magnitude_group_label,event_count,event_mae,event_rmse,event_bias,within_0p15_count,within_0p15_fraction
20.0,25.0,mw_lt_7,Mw < 7.0,6,0.3428233067194621,0.4152421969082289,-0.013199845949808756,2,0.3333333333333333
20.0,25.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,17,0.6918010290931252,0.8098790921870893,-0.6918010290931252,2,0.11764705882352941
20.0,25.0,mw_ge_8,Mw >= 8.0,7,1.5067774568285262,1.5449329201528461,-1.5067774568285262,0,0.0
40.0,45.0,mw_lt_7,Mw < 7.0,6,0.3075002431869507,0.4060403344895822,0.16300014654795328,2,0.3333333333333333
40.0,45.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,17,0.40590256803175984,0.558513234447616,-0.30851929328020883,7,0.4117647058823529
40.0,45.0,mw_ge_8,Mw >= 8.0,7,1.3465216159820557,1.3865364535719606,-1.3465216159820557,0,0.0
60.0,65.0,mw_lt_7,Mw < 7.0,6,0.46546165148417157,0.5653941181624131,0.46546165148417157,1,0.16666666666666666
60.0,65.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,17,0.3092187432681813,0.4003706085589784,-0.12460111169254079,6,0.35294117647058826
60.0,65.0,mw_ge_8,Mw >= 8.0,7,1.138057061604091,1.2369326296153973,-1.138057061604091,0,0.0
80.0,85.0,mw_lt_7,Mw < 7.0,6,0.5389026800791422,0.6700806097364008,0.5389026800791422,1,0.16666666666666666
80.0,85.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,17,0.3018151732052074,0.40274329225603683,-0.05940400852876551,7,0.4117647058823529
80.0,85.0,mw_ge_8,Mw >= 8.0,7,0.9815924167633057,1.1549682866040305,-0.9815924167633057,1,0.14285714285714285
100.0,105.0,mw_lt_7,Mw < 7.0,6,0.2986718416213989,0.4386767290974426,0.2874491612116496,3,0.5
100.0,105.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,17,0.22138453932369456,0.29503582990022875,-0.041728763019337374,8,0.47058823529411764
100.0,105.0,mw_ge_8,Mw >= 8.0,7,0.8417401313781738,1.0683988462890108,-0.8417401313781738,1,0.14285714285714285
120.0,125.0,mw_lt_7,Mw < 7.0,6,0.26785322030385333,0.37127642909027286,0.25351615746816,3,0.5
120.0,125.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,17,0.18622223068686092,0.25154197074943246,0.012264013290405273,8,0.47058823529411764
120.0,125.0,mw_ge_8,Mw >= 8.0,7,0.7556125095912388,0.9727382029892163,-0.7556125095912388,2,0.2857142857142857
140.0,145.0,mw_lt_7,Mw < 7.0,6,0.23371422290802002,0.3186299973054301,0.2242345412572225,3,0.5
140.0,145.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,17,0.12793749921462116,0.15953947872205057,0.10554124327266917,10,0.5882352941176471
140.0,145.0,mw_ge_8,Mw >= 8.0,7,0.47507061277117046,0.6396949843756167,-0.45989274978637695,2,0.2857142857142857
160.0,165.0,mw_lt_7,Mw < 7.0,6,0.2437469164530436,0.2885883838769086,0.07899816830952962,2,0.3333333333333333
160.0,165.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,17,0.13376092910766602,0.16469762135829039,0.08304256551405963,10,0.5882352941176471
160.0,165.0,mw_ge_8,Mw >= 8.0,7,0.3420469079698835,0.491619200596473,-0.31653802735464914,2,0.2857142857142857
180.0,185.0,mw_lt_7,Mw < 7.0,6,0.23869351545969644,0.29990050873277,0.05196694533030192,2,0.3333333333333333
180.0,185.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,17,0.150818011339973,0.20029892464933677,0.06855249404907227,10,0.5882352941176471
180.0,185.0,mw_ge_8,Mw >= 8.0,7,0.12123101098196847,0.14982547871089996,-0.11191974367414202,4,0.5714285714285714
200.0,205.0,mw_lt_7,Mw < 7.0,6,0.17893759409586588,0.2514745097737345,-0.0729990005493164,4,0.6666666666666666
200.0,205.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,17,0.12977266311645508,0.16737984653303298,0.031052729662726906,10,0.5882352941176471
200.0,205.0,mw_ge_8,Mw >= 8.0,7,0.11983714784894671,0.14469236818901335,-0.07773474284580775,5,0.7142857142857143
