event,mw_catalog,magnitude_group,magnitude_group_label,final_station_count,final_mw_pred_median,final_error,final_abs_error,first_within_0p15_observation_sec,first_within_0p15_release_sec,stable_within_0p15_observation_sec,stable_within_0p15_release_sec,stable_accuracy_right_censored,stable_accuracy_censor_observation_sec,stable_accuracy_censor_release_sec,stable_within_0p15_of_final_observation_sec,stable_within_0p15_of_final_release_sec
Parkfield2004,5.96999979019165,mw_lt_7,Mw < 7.0,2,5.922362804412842,-0.047636985778808594,0.047636985778808594,20.0,25.0,100.0,105.0,False,,,100.0,105.0
Napa2014,6.019999980926514,mw_lt_7,Mw < 7.0,3,6.175254821777344,0.15525484085083008,0.15525484085083008,20.0,25.0,,,True,200.0,205.0,200.0,205.0
Lefkada2015,6.5,mw_lt_7,Mw < 7.0,1,5.935489654541016,-0.5645103454589844,0.5645103454589844,,,,,True,200.0,205.0,180.0,185.0
Eureka2014,6.800000190734863,mw_lt_7,Mw < 7.0,1,6.897702693939209,0.0977025032043457,0.0977025032043457,120.0,125.0,200.0,205.0,False,,,80.0,85.0
Aegean2014,6.900000095367432,mw_lt_7,Mw < 7.0,1,6.756337642669678,-0.1436624526977539,0.1436624526977539,60.0,65.0,60.0,65.0,False,,,200.0,205.0
Kilauea2018,6.900000095367432,mw_lt_7,Mw < 7.0,2,6.964858531951904,0.06485843658447266,0.06485843658447266,200.0,205.0,200.0,205.0,False,,,180.0,185.0
Kumamoto2016,7.0,mw_7_to_lt_8,7.0 <= Mw < 8.0,24,7.027714729309082,0.02771472930908203,0.02771472930908203,40.0,45.0,80.0,85.0,False,,,80.0,85.0
Anchorage2018,7.099999904632568,mw_7_to_lt_8,7.0 <= Mw < 8.0,1,7.36749267578125,0.26749277114868164,0.26749277114868164,40.0,45.0,,,True,200.0,205.0,40.0,45.0
Miyagi2011B,7.099999904632568,mw_7_to_lt_8,7.0 <= Mw < 8.0,7,7.2014923095703125,0.10149240493774414,0.10149240493774414,20.0,25.0,200.0,205.0,False,,,200.0,205.0
Ridgecrest2019,7.099999904632568,mw_7_to_lt_8,7.0 <= Mw < 8.0,15,7.083926200866699,-0.01607370376586914,0.01607370376586914,20.0,25.0,20.0,25.0,False,,,20.0,25.0
