method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
released,1,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,1,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,1,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.0,0.0
released,1,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.0,0.0
released,1,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,1,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,2,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,2,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,2,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.0,0.0
released,2,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.0,0.0
released,2,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,2,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,3,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,3,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,3,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.03675125272268865,0.0
released,3,Parkfield2004,4.0918073654174805,5.96999979019165,6.0,-1.87819242477417,-1.9081926345825195,11,0.24368063917993568,0.2609519958496094
released,3,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,3,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,3,Noto2024,4.436389446258545,7.5,7.508084774017334,-3.063610553741455,-3.071695327758789,2,0.12772703170776367,0.12772703170776367
released_constrained,3,Parkfield2004,4.2460856437683105,5.96999979019165,6.0,-1.7239141464233398,-1.7539143562316895,5,0.2695205631507057,0.15418148040771484
released,4,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,4,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,4,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.07312464303383058,0.0
released,4,Parkfield2004,4.719666957855225,5.96999979019165,6.0,-1.2503328323364258,-1.2803330421447754,11,0.28082071012369253,0.23975014686584473
released,4,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,4,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,4,Noto2024,4.927023887634277,7.5,7.508084774017334,-2.5729761123657227,-2.5810608863830566,2,0.2810249328613281,0.2810249328613281
released_constrained,4,Parkfield2004,4.719666957855225,5.96999979019165,6.0,-1.2503328323364258,-1.2803330421447754,11,0.28082071012369253,0.23975014686584473
released,5,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,5,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,5,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.08804409677443542,0.0
released,5,Parkfield2004,5.30496883392334,5.96999979019165,6.0,-0.6650309562683105,-0.6950311660766602,11,0.32589032639862053,0.5470016002655029
released,5,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,5,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,5,Noto2024,5.1454856395721436,7.5,7.508084774017334,-2.3545143604278564,-2.3625991344451904,2,0.27715229988098145,0.27715229988098145
released_constrained,5,Parkfield2004,5.30496883392334,5.96999979019165,6.0,-0.6650309562683105,-0.6950311660766602,11,0.32589032639862053,0.5470016002655029
released,6,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,6,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,6,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.10024857643116838,0.0
released,6,Parkfield2004,5.8275146484375,5.96999979019165,6.0,-0.1424851417541504,-0.1724853515625,11,0.31906865210187646,0.5278759002685547
released,6,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,6,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.31833218715742057,0.0
released_constrained,6,Noto2024,5.334967374801636,7.5,7.508084774017334,-2.1650326251983643,-2.1731173992156982,2,0.20049786567687988,0.20049786567687988
released_constrained,6,Parkfield2004,5.8275146484375,5.96999979019165,6.0,-0.1424851417541504,-0.1724853515625,11,0.31906865210187646,0.5278759002685547
released_constrained,6,SandPoint2020,4.94625997543335,7.599999904632568,7.618760108947754,-2.6537399291992188,-2.6725001335144043,1,0.0,0.0
released,7,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,7,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,7,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.12755849177009831,0.0
released,7,Parkfield2004,6.077491760253906,5.96999979019165,6.0,0.10749197006225586,0.07749176025390625,11,0.21412620952348774,0.2146444320678711
released,7,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,7,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.5354755979393127,0.0
released_constrained,7,Noto2024,5.472900390625,7.5,7.508084774017334,-2.027099609375,-2.035184383392334,3,0.20602086771087907,0.2423267364501953
released_constrained,7,Parkfield2004,6.077491760253906,5.96999979019165,6.0,0.10749197006225586,0.07749176025390625,11,0.21412620952348774,0.2146444320678711
released_constrained,7,SandPoint2020,5.637206077575684,7.599999904632568,7.618760108947754,-1.9627938270568848,-1.9815540313720703,1,0.0,0.0
released,8,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,8,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,8,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.14984087914263777,0.0
released,8,Parkfield2004,6.172782897949219,5.96999979019165,6.0,0.20278310775756836,0.17278289794921875,11,0.08725397879835532,0.10353350639343262
released,8,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,8,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.6098149960839997,0.0
released_constrained,8,Noto2024,5.658755302429199,7.5,7.508084774017334,-1.8412446975708008,-1.8493294715881348,3,0.03229707071342886,0.03936004638671875
released_constrained,8,Parkfield2004,6.172782897949219,5.96999979019165,6.0,0.20278310775756836,0.17278289794921875,11,0.08725397879835532,0.10353350639343262
released_constrained,8,SandPoint2020,5.873752593994141,7.599999904632568,7.618760108947754,-1.7262473106384277,-1.7450075149536133,1,0.0,0.0
released,9,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.7763624889782423,0.778035044670105
released,9,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,9,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.16630687164026156,0.0
released,9,Parkfield2004,6.2494306564331055,5.96999979019165,6.0,0.2794308662414551,0.24943065643310547,11,0.12435540395047881,0.07854771614074707
released,9,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,9,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.6458618281842824,0.0
released_constrained,9,Noto2024,5.755540370941162,7.5,7.508084774017334,-1.744459629058838,-1.7525444030761719,3,0.14959332778419934,0.1764693260192871
released_constrained,9,Parkfield2004,6.2494306564331055,5.96999979019165,6.0,0.2794308662414551,0.24943065643310547,11,0.12435540395047881,0.07854771614074707
released_constrained,9,SandPoint2020,5.988452911376953,7.599999904632568,7.618760108947754,-1.6115469932556152,-1.6303071975708008,1,0.0,0.0
released,10,Anchorage2018,4.66188371181488,7.099999904632568,7.046270847320557,-2.438116192817688,-2.3843871355056763,8,1.0672985408630968,1.920586347579956
released,10,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.222799827555093,0.0
