method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
released,1,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,1,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,1,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.0,0.0
released,1,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.0,0.0
released,1,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,1,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,2,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,2,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,2,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.010634441874773033,0.0
released,2,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.055939056763189866,0.0
released,2,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,2,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,3,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,3,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,3,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.059990883814222205,0.0
released,3,Parkfield2004,4.295611381530762,5.96999979019165,6.0,-1.6743884086608887,-1.7043886184692383,11,0.24427251032370795,0.3129081726074219
released,3,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,3,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,3,Noto2024,4.7803003787994385,7.5,7.508084774017334,-2.7196996212005615,-2.7277843952178955,2,0.025362730026245117,0.025362730026245117
released_constrained,3,Parkfield2004,4.591687202453613,5.96999979019165,6.0,-1.378312587738037,-1.4083127975463867,5,0.15360831511945042,0.2389369010925293
released,4,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,4,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,4,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.08365433906727872,0.0
released,4,Parkfield2004,4.9887213706970215,5.96999979019165,6.0,-0.9812784194946289,-1.0112786293029785,11,0.15124243193337036,0.19695091247558594
released,4,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,4,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,4,Noto2024,5.111650466918945,7.5,7.508084774017334,-2.3883495330810547,-2.3964343070983887,2,0.08761024475097656,0.08761024475097656
released_constrained,4,Parkfield2004,4.9887213706970215,5.96999979019165,6.0,-0.9812784194946289,-1.0112786293029785,11,0.15124243193337036,0.19695091247558594
released,5,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,5,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,5,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.09557567018982012,0.0
released,5,Parkfield2004,5.340636253356934,5.96999979019165,6.0,-0.6293635368347168,-0.6593637466430664,11,0.20566140968429236,0.25632548332214355
released,5,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,5,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,5,Noto2024,5.2711405754089355,7.5,7.508084774017334,-2.2288594245910645,-2.2369441986083984,2,0.18035316467285156,0.18035316467285156
released_constrained,5,Parkfield2004,5.340636253356934,5.96999979019165,6.0,-0.6293635368347168,-0.6593637466430664,11,0.20566140968429236,0.25632548332214355
released,6,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,6,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,6,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.10600786034479474,0.0
released,6,Parkfield2004,5.623499870300293,5.96999979019165,6.0,-0.3464999198913574,-0.37650012969970703,11,0.24753158554369034,0.2992880344390869
released,6,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,6,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.26145065055165656,0.0
released_constrained,6,Noto2024,5.421055793762207,7.5,7.508084774017334,-2.078944206237793,-2.087028980255127,2,0.16884422302246094,0.16884422302246094
released_constrained,6,Parkfield2004,5.623499870300293,5.96999979019165,6.0,-0.3464999198913574,-0.37650012969970703,11,0.24753158554369034,0.2992880344390869
released_constrained,6,SandPoint2020,4.76526403427124,7.599999904632568,7.618760108947754,-2.834735870361328,-2.8534960746765137,1,0.0,0.0
released,7,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,7,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,7,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.12940558912085964,0.0
released,7,Parkfield2004,5.79803991317749,5.96999979019165,6.0,-0.17195987701416016,-0.20196008682250977,11,0.19809441695385654,0.20028352737426758
released,7,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,7,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.4829873738945936,0.0
released_constrained,7,Noto2024,5.546952724456787,7.5,7.508084774017334,-1.953047275543213,-1.9611320495605469,3,0.2944407029287755,0.33678698539733887
released_constrained,7,Parkfield2004,5.79803991317749,5.96999979019165,6.0,-0.17195987701416016,-0.20196008682250977,11,0.19809441695385654,0.20028352737426758
released_constrained,7,SandPoint2020,5.470189571380615,7.599999904632568,7.618760108947754,-2.129810333251953,-2.1485705375671387,1,0.0,0.0
released,8,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,8,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,8,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.15020176575400024,0.0
released,8,Parkfield2004,5.943077087402344,5.96999979019165,6.0,-0.02692270278930664,-0.05692291259765625,11,0.09324818055619886,0.1614372730255127
released,8,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,8,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.5494711988986956,0.0
released_constrained,8,Noto2024,5.7044806480407715,7.5,7.508084774017334,-1.7955193519592285,-1.8036041259765625,3,0.06243106969458609,0.06907963752746582
released_constrained,8,Parkfield2004,5.943077087402344,5.96999979019165,6.0,-0.02692270278930664,-0.05692291259765625,11,0.09324818055619886,0.1614372730255127
released_constrained,8,SandPoint2020,5.681739807128906,7.599999904632568,7.618760108947754,-1.918260097503662,-1.9370203018188477,1,0.0,0.0
released,9,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.5343675359341533,0.6796042919158936
released,9,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,9,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.17237915759982866,0.0
released,9,Parkfield2004,6.0582075119018555,5.96999979019165,6.0,0.08820772171020508,0.05820751190185547,11,0.0928303605728408,0.09922599792480469
released,9,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,9,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.583345426520006,0.0
released_constrained,9,Noto2024,5.804036617279053,7.5,7.508084774017334,-1.6959633827209473,-1.7040481567382812,3,0.06932093398437478,0.08254742622375488
released_constrained,9,Parkfield2004,6.0582075119018555,5.96999979019165,6.0,0.08820772171020508,0.05820751190185547,11,0.0928303605728408,0.09922599792480469
released_constrained,9,SandPoint2020,5.78952693939209,7.599999904632568,7.618760108947754,-1.8104729652404785,-1.829233169555664,1,0.0,0.0
released,10,Anchorage2018,4.509956479072571,7.099999904632568,7.046270847320557,-2.5900434255599976,-2.536314368247986,8,0.8555929244545507,1.5671182870864868
released,10,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.13894178898140175,0.0
