method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
released,1,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,1,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,1,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.0,0.0
released,1,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.0,0.0
released,1,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,1,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,2,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,2,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,2,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.03086240891481059,0.0
released,2,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.1351012499635363,0.16378188133239746
released,2,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,2,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,3,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,3,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,3,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.07774134972167693,0.0
released,3,Parkfield2004,4.42988920211792,5.96999979019165,6.0,-1.5401105880737305,-1.57011079788208,11,0.2860850399758114,0.49128103256225586
released,3,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,3,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,3,Noto2024,5.031173229217529,7.5,7.508084774017334,-2.4688267707824707,-2.4769115447998047,2,0.022291183471679688,0.022291183471679688
released_constrained,3,Parkfield2004,4.878560543060303,5.96999979019165,6.0,-1.0914392471313477,-1.1214394569396973,5,0.11313270893776378,0.16161870956420898
released,4,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,4,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,4,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.09603620977817644,0.0
released,4,Parkfield2004,5.160671234130859,5.96999979019165,6.0,-0.809328556060791,-0.8393287658691406,11,0.08463477696789744,0.09843683242797852
released,4,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,4,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,4,Noto2024,5.2897703647613525,7.5,7.508084774017334,-2.2102296352386475,-2.2183144092559814,2,0.01017451286315918,0.01017451286315918
released_constrained,4,Parkfield2004,5.160671234130859,5.96999979019165,6.0,-0.809328556060791,-0.8393287658691406,11,0.08463477696789744,0.09843683242797852
released,5,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,5,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,5,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.10592985485717103,0.0
released,5,Parkfield2004,5.359283447265625,5.96999979019165,6.0,-0.6107163429260254,-0.640716552734375,11,0.05171795788805308,0.06149482727050781
released,5,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,5,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,5,Noto2024,5.429531097412109,7.5,7.508084774017334,-2.0704689025878906,-2.0785536766052246,2,0.008029937744140625,0.008029937744140625
released_constrained,5,Parkfield2004,5.359283447265625,5.96999979019165,6.0,-0.6107163429260254,-0.640716552734375,11,0.05171795788805308,0.06149482727050781
released,6,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,6,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,6,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.1128878530610477,0.0
released,6,Parkfield2004,5.50689697265625,5.96999979019165,6.0,-0.4631028175354004,-0.49310302734375,11,0.11065558438039945,0.07192659378051758
released,6,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,6,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.23689668335038191,0.0
released_constrained,6,Noto2024,5.527399778366089,7.5,7.508084774017334,-1.9726002216339111,-1.9806849956512451,2,0.006144285202026367,0.006144285202026367
released_constrained,6,Parkfield2004,5.50689697265625,5.96999979019165,6.0,-0.4631028175354004,-0.49310302734375,11,0.11065558438039945,0.07192659378051758
released_constrained,6,SandPoint2020,4.6871337890625,7.599999904632568,7.618760108947754,-2.9128661155700684,-2.931626319885254,1,0.0,0.0
released,7,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,7,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,7,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.1304433326201613,0.0
released,7,Parkfield2004,5.631883144378662,5.96999979019165,6.0,-0.3381166458129883,-0.3681168556213379,11,0.14125279447319275,0.19340896606445312
released,7,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,7,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.4418502514824245,0.0
released_constrained,7,Noto2024,5.590594291687012,7.5,7.508084774017334,-1.9094057083129883,-1.9174904823303223,3,0.25814988424642266,0.27820777893066406
released_constrained,7,Parkfield2004,5.631883144378662,5.96999979019165,6.0,-0.3381166458129883,-0.3681168556213379,11,0.14125279447319275,0.19340896606445312
released_constrained,7,SandPoint2020,5.339292049407959,7.599999904632568,7.618760108947754,-2.2607078552246094,-2.279468059539795,1,0.0,0.0
released,8,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,8,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,8,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.1433537761355474,0.0
released,8,Parkfield2004,5.796375274658203,5.96999979019165,6.0,-0.17362451553344727,-0.20362472534179688,11,0.11915048660686543,0.16634869575500488
released,8,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,8,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.5023463018164828,0.0
released_constrained,8,Noto2024,5.645613670349121,7.5,7.508084774017334,-1.854386329650879,-1.862471103668213,3,0.10634335087926082,0.11928868293762207
released_constrained,8,Parkfield2004,5.796375274658203,5.96999979019165,6.0,-0.17362451553344727,-0.20362472534179688,11,0.11915048660686543,0.16634869575500488
released_constrained,8,SandPoint2020,5.531789302825928,7.599999904632568,7.618760108947754,-2.0682106018066406,-2.086970806121826,1,0.0,0.0
released,9,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.39095865551449643,0.06038385629653931
released,9,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,9,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.15482883810817716,0.0
released,9,Parkfield2004,5.977770805358887,5.96999979019165,6.0,0.007771015167236328,-0.02222919464111328,11,0.10844384508585414,0.15111255645751953
released,9,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,9,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.5375973437780859,0.0
released_constrained,9,Noto2024,5.691921234130859,7.5,7.508084774017334,-1.8080787658691406,-1.8161635398864746,3,0.02363446109670136,0.028620481491088867
released_constrained,9,Parkfield2004,5.977770805358887,5.96999979019165,6.0,0.007771015167236328,-0.02222919464111328,11,0.10844384508585414,0.15111255645751953
released_constrained,9,SandPoint2020,5.650620937347412,7.599999904632568,7.618760108947754,-1.9493789672851562,-1.9681391716003418,1,0.0,0.0
released,10,Anchorage2018,4.3582669496536255,7.099999904632568,7.046270847320557,-2.741732954978943,-2.688003897666931,8,0.7154988217942099,1.1077333688735962
released,10,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.03516679041678186,0.0
