method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
released,1,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,1,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,1,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.0,0.0
released,1,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.0,0.0
released,1,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,1,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,2,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,2,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,2,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.08220941578401923,0.0
released,2,Parkfield2004,3.933333158493042,5.96999979019165,6.0,-2.0366666316986084,-2.066666841506958,11,0.5259796381297116,0.9989504814147949
released,2,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,2,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released,3,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,3,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,3,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.11568690863356422,0.0
released,3,Parkfield2004,5.525346279144287,5.96999979019165,6.0,-0.4446535110473633,-0.4746537208557129,11,0.06846545597812337,0.08176279067993164
released,3,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,3,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,3,Noto2024,5.567095518112183,7.5,7.508084774017334,-1.9329044818878174,-1.9409892559051514,2,0.029736757278442383,0.029736757278442383
released_constrained,3,Parkfield2004,5.577564239501953,5.96999979019165,6.0,-0.39243555068969727,-0.4224357604980469,5,0.02786758808778336,0.029582977294921875
released,4,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,4,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,4,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.13065945143992228,0.0
released,4,Parkfield2004,5.793918609619141,5.96999979019165,6.0,-0.17608118057250977,-0.20608139038085938,11,0.01120163874695725,0.011602401733398438
released,4,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,4,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.0,0.0
released_constrained,4,Noto2024,5.7788169384002686,7.5,7.508084774017334,-1.7211830615997314,-1.7292678356170654,2,0.01086115837097168,0.01086115837097168
released_constrained,4,Parkfield2004,5.793918609619141,5.96999979019165,6.0,-0.17608118057250977,-0.20608139038085938,11,0.01120163874695725,0.011602401733398438
released,5,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,5,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,5,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.14177235359265722,0.0
released,5,Parkfield2004,5.997806549072266,5.96999979019165,6.0,0.027806758880615234,-0.002193450927734375,11,0.012541367464780668,0.014630794525146484
released,5,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,5,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.46379943105412996,0.0
released_constrained,5,Noto2024,5.935675621032715,7.5,7.508084774017334,-1.5643243789672852,-1.5724091529846191,2,0.02353668212890625,0.02353668212890625
released_constrained,5,Parkfield2004,5.997806549072266,5.96999979019165,6.0,0.027806758880615234,-0.002193450927734375,11,0.012541367464780668,0.014630794525146484
released,6,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,6,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,6,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.15435430834803004,0.0
released,6,Parkfield2004,5.852262020111084,5.96999979019165,6.0,-0.1177377700805664,-0.14773797988891602,11,0.02759805139361734,0.023642301559448242
released,6,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,6,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.6339553622118875,0.0
released_constrained,6,Noto2024,5.787454605102539,7.5,7.508084774017334,-1.712545394897461,-1.720630168914795,2,0.026582717895507812,0.026582717895507812
released_constrained,6,Parkfield2004,5.852262020111084,5.96999979019165,6.0,-0.1177377700805664,-0.14773797988891602,11,0.02759805139361734,0.023642301559448242
released_constrained,6,SandPoint2020,5.95056676864624,7.599999904632568,7.618760108947754,-1.6494331359863281,-1.6681933403015137,1,0.0,0.0
released,7,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,7,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,7,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.17180021758700614,0.0
released,7,Parkfield2004,5.958881378173828,5.96999979019165,6.0,-0.011118412017822266,-0.041118621826171875,11,0.07542375461659966,0.09655952453613281
released,7,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,7,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.720047174914679,0.0
released_constrained,7,Noto2024,5.900824546813965,7.5,7.508084774017334,-1.5991754531860352,-1.6072602272033691,3,0.058612115876627464,0.07052350044250488
released_constrained,7,Parkfield2004,5.958881378173828,5.96999979019165,6.0,-0.011118412017822266,-0.041118621826171875,11,0.07542375461659966,0.09655952453613281
released_constrained,7,SandPoint2020,6.224509239196777,7.599999904632568,7.618760108947754,-1.375490665435791,-1.3942508697509766,1,0.0,0.0
released,8,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.0,0.0
released,8,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,8,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.16672632440539586,0.0
released,8,Parkfield2004,5.835341453552246,5.96999979019165,6.0,-0.1346583366394043,-0.1646585464477539,11,0.12094855287971472,0.2192676067352295
released,8,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,8,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.7105422925662328,0.0
released_constrained,8,Noto2024,5.798121452331543,7.5,7.508084774017334,-1.701878547668457,-1.709963321685791,3,0.10219900349684054,0.11475253105163574
released_constrained,8,Parkfield2004,5.835341453552246,5.96999979019165,6.0,-0.1346583366394043,-0.1646585464477539,11,0.12094855287971472,0.2192676067352295
released_constrained,8,SandPoint2020,6.194264888763428,7.599999904632568,7.618760108947754,-1.4057350158691406,-1.4244952201843262,1,0.0,0.0
released,9,Anchorage2018,3.933333158493042,7.099999904632568,7.046270847320557,-3.1666667461395264,-3.1129376888275146,8,0.9912346694879448,1.6886379718780518
released,9,Maule2010,3.933333158493042,8.800000190734863,8.789259910583496,-4.866667032241821,-4.855926752090454,18,0.0,0.0
released,9,Noto2024,3.933333158493042,7.5,7.508084774017334,-3.566666841506958,-3.574751615524292,397,0.21298884169570068,0.0
released,9,Parkfield2004,5.8907880783081055,5.96999979019165,6.0,-0.07921171188354492,-0.10921192169189453,11,0.14135048695735716,0.26457977294921875
released,9,RatIslands2014,3.933333158493042,7.900000095367432,7.974172115325928,-3.9666669368743896,-4.040838956832886,3,0.0,0.0
released,9,SandPoint2020,3.933333158493042,7.599999904632568,7.618760108947754,-3.6666667461395264,-3.685426950454712,9,0.8575439105685403,0.0
released_constrained,9,Noto2024,5.741105556488037,7.5,7.508084774017334,-1.758894443511963,-1.7669792175292969,3,0.12678000475761966,0.13572001457214355
released_constrained,9,Parkfield2004,5.8907880783081055,5.96999979019165,6.0,-0.07921171188354492,-0.10921192169189453,11,0.14135048695735716,0.26457977294921875
released_constrained,9,SandPoint2020,6.1962127685546875,7.599999904632568,7.618760108947754,-1.4037871360778809,-1.4225473403930664,1,0.0,0.0
released,10,Anchorage2018,4.988245844841003,7.099999904632568,7.046270847320557,-2.111754059791565,-2.0580250024795532,8,1.1359573661367672,2.1905912160873413
