variant,event,mw_catalog,mw_200s,error_200s
NEW-3,Anchorage2018,7.099999904632568,7.103713512420654,0.0037136077880859
NEW-3,Maule2010,8.800000190734863,8.79729175567627,-0.0027084350585937
NEW-3,Noto2024,7.5,7.886708736419678,0.3867087364196777
NEW-3,Parkfield2004,5.96999979019165,6.025027275085449,0.0550274848937988
NEW-3,RatIslands2014,7.900000095367432,7.816092491149902,-0.0839076042175293
NEW-3,SandPoint2020,7.599999904632568,7.608521938323975,0.0085220336914062
NEW-3 s42,Anchorage2018,7.099999904632568,7.1750922203063965,0.0750923156738281
NEW-3 s42,Maule2010,8.800000190734863,8.872416973114014,0.0724167823791503
NEW-3 s42,Noto2024,7.5,7.868436336517334,0.368436336517334
NEW-3 s42,Parkfield2004,5.96999979019165,6.027548789978027,0.0575489997863769
NEW-3 s42,RatIslands2014,7.900000095367432,7.933901786804199,0.0339016914367675
NEW-3 s42,SandPoint2020,7.599999904632568,7.619361877441406,0.0193619728088378
5a,Anchorage2018,7.099999904632568,7.097294569015503,-0.0027053356170654
5a,Maule2010,8.800000190734863,8.856033325195312,0.0560331344604492
5a,Noto2024,7.5,7.869915008544922,0.3699150085449219
5a,Parkfield2004,5.96999979019165,5.995318412780762,0.0253186225891113
5a,RatIslands2014,7.900000095367432,7.941368103027344,0.0413680076599121
5a,SandPoint2020,7.599999904632568,7.597064971923828,-0.0029349327087402
5b,Anchorage2018,7.099999904632568,6.984172344207764,-0.1158275604248046
5b,Maule2010,8.800000190734863,8.747416019439697,-0.052584171295166
5b,Noto2024,7.5,7.814720153808594,0.3147201538085937
5b,Parkfield2004,5.96999979019165,6.039206504821777,0.0692067146301269
5b,RatIslands2014,7.900000095367432,7.8908491134643555,-0.0091509819030761
5b,SandPoint2020,7.599999904632568,7.509571075439453,-0.0904288291931152
