variant,filter,delta_mw_per_s,ema_tau_s,event_mae_200s,event_rmse_200s,mean_sign_changes,max_sign_changes,events_with_stable_entry,median_stable_entry_sec,entry_before_crowell,rho_Bstar_30s,rho_Bstar_60s,rho_A_30s,rho_A_60s,stable_entry_by_event,sign_changes_by_event
OLD,raw,0.005,5.0,0.12687297662099203,0.17095290378483477,41.0,60,5,65.0,4,0.7142857142857143,0.7142857142857143,0.9428571428571428,0.9428571428571428,"{""Anchorage2018"": 25, ""Maule2010"": 169, ""Noto2024"": null, ""Parkfield2004"": 4, ""RatIslands2014"": 65, ""SandPoint2020"": 66}","{""Anchorage2018"": 25, ""Maule2010"": 48, ""Noto2024"": 53, ""Parkfield2004"": 60, ""RatIslands2014"": 26, ""SandPoint2020"": 34}"
OLD,runmax,0.005,5.0,0.2252995173136393,0.26922148018015984,0.0,0,5,32.0,4,0.7142857142857143,0.8285714285714286,0.9428571428571428,0.9428571428571428,"{""Anchorage2018"": 25, ""Maule2010"": 169, ""Noto2024"": null, ""Parkfield2004"": 4, ""RatIslands2014"": 32, ""SandPoint2020"": 66}","{""Anchorage2018"": 0, ""Maule2010"": 0, ""Noto2024"": 0, ""Parkfield2004"": 0, ""RatIslands2014"": 0, ""SandPoint2020"": 0}"
OLD,envelope,0.005,5.0,0.12687297662099203,0.17095290378483477,29.666666666666668,46,5,32.0,4,0.7142857142857143,0.8285714285714286,0.9428571428571428,0.9428571428571428,"{""Anchorage2018"": 25, ""Maule2010"": 169, ""Noto2024"": null, ""Parkfield2004"": 4, ""RatIslands2014"": 32, ""SandPoint2020"": 66}","{""Anchorage2018"": 21, ""Maule2010"": 26, ""Noto2024"": 39, ""Parkfield2004"": 46, ""RatIslands2014"": 18, ""SandPoint2020"": 28}"
OLD,ema_envelope,0.005,5.0,0.12511939914063794,0.17000641362812777,10.333333333333334,18,5,38.0,4,0.7142857142857143,0.8285714285714286,0.9428571428571428,0.9428571428571428,"{""Anchorage2018"": 29, ""Maule2010"": 174, ""Noto2024"": null, ""Parkfield2004"": 5, ""RatIslands2014"": 38, ""SandPoint2020"": 70}","{""Anchorage2018"": 9, ""Maule2010"": 4, ""Noto2024"": 7, ""Parkfield2004"": 18, ""RatIslands2014"": 10, ""SandPoint2020"": 14}"
NEW-1,raw,0.005,5.0,0.11822569370269775,0.1509501767778912,29.833333333333332,43,6,70.5,3,0.7714285714285715,0.7142857142857143,0.7714285714285715,0.8285714285714286,"{""Anchorage2018"": 26, ""Maule2010"": 179, ""Noto2024"": 160, ""Parkfield2004"": 61, ""RatIslands2014"": 72, ""SandPoint2020"": 69}","{""Anchorage2018"": 16, ""Maule2010"": 42, ""Noto2024"": 43, ""Parkfield2004"": 30, ""RatIslands2014"": 19, ""SandPoint2020"": 29}"
NEW-1,runmax,0.005,5.0,0.16349915663401302,0.20611614471466647,0.0,0,4,55.0,3,0.7714285714285715,0.8285714285714286,0.7714285714285715,0.8285714285714286,"{""Anchorage2018"": 26, ""Maule2010"": 179, ""Noto2024"": null, ""Parkfield2004"": null, ""RatIslands2014"": 41, ""SandPoint2020"": 69}","{""Anchorage2018"": 0, ""Maule2010"": 0, ""Noto2024"": 0, ""Parkfield2004"": 0, ""RatIslands2014"": 0, ""SandPoint2020"": 0}"
NEW-1,envelope,0.005,5.0,0.11554437160491988,0.15022513831174003,25.666666666666668,39,6,70.5,3,0.7714285714285715,0.8285714285714286,0.7714285714285715,0.8285714285714286,"{""Anchorage2018"": 26, ""Maule2010"": 179, ""Noto2024"": 162, ""Parkfield2004"": 61, ""RatIslands2014"": 72, ""SandPoint2020"": 69}","{""Anchorage2018"": 16, ""Maule2010"": 27, ""Noto2024"": 39, ""Parkfield2004"": 30, ""RatIslands2014"": 17, ""SandPoint2020"": 25}"
NEW-1,ema_envelope,0.005,5.0,0.11581842803921945,0.1519118052190963,8.166666666666666,11,6,75.5,3,0.5428571428571428,0.8285714285714286,0.7714285714285715,0.8285714285714286,"{""Anchorage2018"": 30, ""Maule2010"": 184, ""Noto2024"": 163, ""Parkfield2004"": 64, ""RatIslands2014"": 78, ""SandPoint2020"": 73}","{""Anchorage2018"": 4, ""Maule2010"": 6, ""Noto2024"": 9, ""Parkfield2004"": 8, ""RatIslands2014"": 11, ""SandPoint2020"": 11}"
NEW-2,raw,0.005,5.0,0.12229736646016438,0.19580797716889492,33.666666666666664,47,5,73.0,3,0.8857142857142857,0.8285714285714286,0.9428571428571428,0.8285714285714286,"{""Anchorage2018"": 30, ""Maule2010"": 177, ""Noto2024"": null, ""Parkfield2004"": 37, ""RatIslands2014"": 79, ""SandPoint2020"": 73}","{""Anchorage2018"": 22, ""Maule2010"": 43, ""Noto2024"": 45, ""Parkfield2004"": 30, ""RatIslands2014"": 15, ""SandPoint2020"": 47}"
NEW-2,runmax,0.005,5.0,0.15663369496663412,0.23482091424645427,0.0,0,4,55.5,3,0.8857142857142857,0.8285714285714286,0.9428571428571428,0.8285714285714286,"{""Anchorage2018"": 30, ""Maule2010"": 177, ""Noto2024"": null, ""Parkfield2004"": null, ""RatIslands2014"": 38, ""SandPoint2020"": 73}","{""Anchorage2018"": 0, ""Maule2010"": 0, ""Noto2024"": 0, ""Parkfield2004"": 0, ""RatIslands2014"": 0, ""SandPoint2020"": 0}"
