cohort,bin,size,median
train,"(0, 50]",87,5.858567604190837
train,"(50, 100]",168,5.945221976572071
train,"(100, 150]",162,6.099244213072328
train,"(150, 200]",198,6.237017367177814
train,"(200, 300]",335,6.417089154848346
train,"(300, 500]",456,6.7512217454985635
train,"(500, 3000]",392,7.075626048721503
validation,"(0, 50]",17,5.818709631911902
validation,"(50, 100]",23,5.974310128491838
validation,"(100, 150]",43,6.053974594125014
validation,"(150, 200]",64,6.202367365212973
validation,"(200, 300]",159,6.402131367287279
validation,"(300, 500]",125,6.616450134081377
validation,"(500, 3000]",15,6.90220913392259
