method,observation_horizon_sec,event,mw_pred_median,mw_catalog,mw_stf_native,error_vs_catalog,error_vs_stf_native,n_stations,pred_std,pred_iqr
crowell,1,Ecuador2016,6.124990621900757,7.8,,-1.6750093780992428,,20,0.3962933424238127,0.4338594889554281
crowell,2,Ecuador2016,6.277333864054056,7.8,,-1.5226661359459444,,20,0.4044314704949343,0.4788391411813375
crowell,3,Ecuador2016,6.290053882505202,7.8,,-1.509946117494798,,20,0.4096009417603351,0.5111332794401706
crowell,4,Ecuador2016,6.290053882505202,7.8,,-1.509946117494798,,20,0.3996254042774446,0.5647279900826421
crowell,5,Ecuador2016,6.341914359967897,7.8,,-1.4580856400321025,,20,0.3941406906688318,0.5392379396018949
crowell,6,Ecuador2016,6.380956080948879,7.8,,-1.4190439190511208,,20,0.3871501003720138,0.5418771683702017
crowell,7,Ecuador2016,6.475680533741821,7.8,,-1.3243194662581788,,20,0.3827268909443647,0.5277637047334487
crowell,8,Ecuador2016,6.475680533741821,7.8,,-1.3243194662581788,,20,0.380840896239187,0.5470567147199521
crowell,9,Ecuador2016,6.478410929952309,7.8,,-1.3215890700476909,,20,0.3511570126578918,0.5484277168812675
crowell,10,Ecuador2016,6.483443203871127,7.8,,-1.3165567961288724,,20,0.3332266913426539,0.5148287332319805
crowell,11,Ecuador2016,6.488283709062662,7.8,,-1.311716290937338,,20,0.3198796338781053,0.4999317823914495
crowell,12,Ecuador2016,6.532578078331589,7.8,,-1.2674219216684106,,20,0.3047796950021255,0.399440950923287
crowell,13,Ecuador2016,6.551144813281165,7.8,,-1.2488551867188349,,20,0.2925399594125282,0.3350974871873617
crowell,14,Ecuador2016,6.553064251261557,7.8,,-1.2469357487384425,,20,0.2611419431096381,0.3374423645117446
crowell,15,Ecuador2016,6.60598179598272,7.8,,-1.1940182040172802,,20,0.2540902910751423,0.3029711886693889
crowell,16,Ecuador2016,6.620186196236581,7.8,,-1.1798138037634187,,20,0.2579797489547372,0.2557713600499083
crowell,17,Ecuador2016,6.6499306870637,7.8,,-1.1500693129363002,,20,0.255791690969296,0.2557713600499083
crowell,18,Ecuador2016,6.6499306870637,7.8,,-1.1500693129363002,,20,0.2526908281615807,0.2981682651160531
crowell,19,Ecuador2016,6.6499306870637,7.8,,-1.1500693129363002,,20,0.2520260902253415,0.3300496885798569
crowell,20,Ecuador2016,6.6499306870637,7.8,,-1.1500693129363002,,20,0.2601744317371007,0.343144913781666
crowell,21,Ecuador2016,6.6499306870637,7.8,,-1.1500693129363002,,20,0.274326631131281,0.343144913781666
crowell,22,Ecuador2016,6.650699640472524,7.8,,-1.1493003595274756,,20,0.2800867115143935,0.3599809979596147
crowell,23,Ecuador2016,6.652151294920743,7.8,,-1.147848705079257,,20,0.2620585280770334,0.3626289288473119
crowell,24,Ecuador2016,6.660432644941908,7.8,,-1.1395673550580918,,20,0.2452457822014891,0.2817531522388936
crowell,25,Ecuador2016,6.680131974067606,7.8,,-1.1198680259323934,,20,0.2347537071697862,0.2261271934386819
crowell,26,Ecuador2016,6.6922319900679055,7.8,,-1.1077680099320943,,20,0.2363349633617051,0.3522828242892384
crowell,27,Ecuador2016,6.6922319900679055,7.8,,-1.1077680099320943,,20,0.2439116880895468,0.3301008961931133
crowell,28,Ecuador2016,6.7116483900997626,7.8,,-1.0883516099002373,,20,0.260082168235147,0.3301008961931133
crowell,29,Ecuador2016,6.7116483900997626,7.8,,-1.0883516099002373,,20,0.2801047217175148,0.3301008961931133
crowell,30,Ecuador2016,6.7116483900997626,7.8,,-1.0883516099002373,,20,0.2956538283621518,0.3258726438891512
crowell,31,Ecuador2016,6.743111271807285,7.8,,-1.0568887281927148,,20,0.3231024348966672,0.3153966555495655
crowell,32,Ecuador2016,6.743111271807285,7.8,,-1.0568887281927148,,20,0.347176397603393,0.3348876791061537
crowell,33,Ecuador2016,6.769449586319498,7.8,,-1.0305504136805022,,20,0.3581400406522332,0.3695419316242736
crowell,34,Ecuador2016,6.790220572955121,7.8,,-1.0097794270448786,,20,0.3607651755277262,0.356159785814035
crowell,35,Ecuador2016,6.791798653285895,7.8,,-1.008201346714105,,20,0.3682229347357464,0.3587949734518512
crowell,36,Ecuador2016,6.802564051785728,7.8,,-0.9974359482142718,,20,0.376828435845571,0.3406018095573104
crowell,37,Ecuador2016,6.812910646020795,7.8,,-0.9870893539792052,,20,0.387212530418039,0.3406018095573104
crowell,38,Ecuador2016,6.812910646020795,7.8,,-0.9870893539792052,,20,0.4003393460367814,0.3406018095573104
crowell,39,Ecuador2016,6.820751239195934,7.8,,-0.979248760804066,,20,0.415069800847249,0.3406018095573104
crowell,40,Ecuador2016,6.843674729808986,7.8,,-0.956325270191014,,20,0.4335428748320883,0.3406018095573104
crowell,41,Ecuador2016,6.886687869100339,7.8,,-0.9133121308996612,,20,0.4465031719203984,0.3406018095573104
crowell,42,Ecuador2016,6.901639595078018,7.8,,-0.8983604049219815,,20,0.4539393389024264,0.370974424412374
crowell,43,Ecuador2016,6.909919139497059,7.8,,-0.8900808605029411,,20,0.4570414014827838,0.3855725247361707
crowell,44,Ecuador2016,6.9488947310335165,7.8,,-0.8511052689664833,,20,0.4545038709576994,0.3804994860377571
crowell,45,Ecuador2016,6.961802159559463,7.8,,-0.8381978404405368,,20,0.4506162912259627,0.3755120450419502
crowell,46,Ecuador2016,6.9628279390068055,7.8,,-0.8371720609931943,,20,0.4492113853274686,0.3912427980251944
