event,mw_catalog,mw_pred_median,prediction_seed_mean,prediction_seed_std,error_vs_catalog,fold,n_stations,magnitude_catalog,role,source_event_id,event_class,absolute_error
2013p543824,6.5,6.642956495285034,6.617051601409912,0.0710332873338748,0.1429564952850341,3,8,6.5,new_event,2013p543824,new,0.1429564952850341
2013p613797,6.5,6.609736919403076,6.638423681259155,0.0934777221960529,0.1097369194030761,2,10,6.5,new_event,2013p613797,new,0.1097369194030761
2016p661332,7.099999904632568,7.7154059410095215,7.699106216430664,0.0450950198599387,0.6154060363769531,3,7,7.1,new_event,2016p661332,new,0.6154060363769531
2021p169083,7.199999809265137,7.363925933837891,7.369253476460774,0.1844789570184939,0.1639261245727539,2,10,7.2,new_event,2021p169083,new,0.1639261245727539
Aegean2014,6.900000095367432,6.926026821136475,6.9014209906260175,0.1521634137292023,0.0260267257690429,1,4,6.9,existing_phase39_event,usb000r2hc,existing,0.0260267257690429
Anchorage2018,7.099999904632568,7.160985469818115,7.154744466145833,0.0238833416475705,0.0609855651855468,4,8,7.1,existing_phase39_event,ak018fcnsk91,existing,0.0609855651855468
Chignic2021,8.199999809265137,7.715362548828125,7.724504311879476,0.0234355336896796,-0.4846372604370117,4,41,8.2,existing_phase39_event,ak0219neiszm,existing,0.4846372604370117
Ecuador2016,7.800000190734863,7.908435344696045,7.879028638203938,0.042802335107743,0.1084351539611816,0,20,7.8,existing_phase39_event,us20005j32,existing,0.1084351539611816
ElMayor2010,7.199999809265137,7.193002223968506,7.224234819412231,0.0569207568338793,-0.0069975852966308,3,84,7.2,existing_phase39_event,ci14607652,existing,0.0069975852966308
Eureka2014,6.800000190734863,6.728771209716797,6.725983619689941,0.0160681692372788,-0.0712289810180664,4,15,6.8,existing_phase39_event,nc72182046,existing,0.0712289810180664
Ibaraki2011,7.900000095367432,7.930871486663818,7.934809525807698,0.011710344012958,0.0308713912963867,0,507,7.9,existing_phase39_event,usp000hvpa,existing,0.0308713912963867
Illapel2015,8.300000190734863,7.742988109588623,7.721068461736043,0.1566121436654795,-0.5570120811462402,4,24,8.3,existing_phase39_event,us20003k7a,existing,0.5570120811462402
Iquique2014,8.199999809265137,8.033705234527588,8.012268225351969,0.0342658273401189,-0.1662945747375488,1,20,8.2,existing_phase39_event,usc000nzvd,existing,0.1662945747375488
Kaikoura2016,7.800000190734863,8.11670732498169,8.100153923034668,0.0334977023913723,0.3167071342468261,3,32,7.8,existing_phase39_event,us1000778i,existing,0.3167071342468261
Kilauea2018,6.900000095367432,7.407128810882568,7.352556228637695,0.1261143110010933,0.5071287155151367,3,15,6.9,existing_phase39_event,hv70116556,existing,0.5071287155151367
Kumamoto2016,7.0,7.193837642669678,7.159843285878499,0.0897473718284236,0.1938376426696777,1,161,7.0,existing_phase39_event,us20005iis,existing,0.1938376426696777
Lefkada2015,6.5,6.654796600341797,6.689860979715983,0.1579291350131198,0.1547966003417968,0,3,6.5,existing_phase39_event,us10003ywp,existing,0.1547966003417968
Maule2010,8.800000190734863,8.713205337524414,8.754514694213867,0.0675147345006838,-0.0867948532104492,3,18,8.8,existing_phase39_event,official20100227063411530_30,existing,0.0867948532104492
Melinka2016,7.599999904632568,7.596946716308594,7.6242672602335615,0.0918909632040882,-0.0030531883239746,1,5,7.6,existing_phase39_event,us10007mn3,existing,0.0030531883239746
Mentawai2010,7.800000190734863,7.557945251464844,7.536069711049397,0.0761525655274546,-0.2420549392700195,1,9,7.8,existing_phase39_event,usp000hnj4,existing,0.2420549392700195
Miyagi2011A,7.300000190734863,7.47834038734436,7.482340892155965,0.0228928047425309,0.178340196609497,0,84,7.3,existing_phase39_event,usp000hvhj,existing,0.178340196609497
Miyagi2011B,7.099999904632568,6.913025140762329,6.877132177352905,0.0857936676972128,-0.1869747638702392,2,46,7.1,existing_phase39_event,usp000hzf6,existing,0.1869747638702392
Napa2014,6.019999980926514,6.913733959197998,6.883770783742269,0.0555307986027054,0.8937339782714844,0,28,6.02,existing_phase39_event,nc72282711,existing,0.8937339782714844
Nepal2015,7.800000190734863,7.786133527755737,7.764410098393758,0.039045253852323,-0.0138666629791259,2,6,7.8,existing_phase39_event,us20002926,existing,0.0138666629791259
Nicoya2012,7.599999904632568,7.343878746032715,7.345833460489909,0.1275881924759087,-0.2561211585998535,0,9,7.6,existing_phase39_event,usp000jrsw,existing,0.2561211585998535
Noto2024,7.5,7.600598812103271,7.710321585337321,0.2123004368822878,0.1005988121032714,2,397,7.5,existing_phase39_event,us6000m0xl,noto,0.1005988121032714
Parkfield2004,5.96999979019165,6.305830955505371,6.228189150492351,0.1165968634598869,0.3358311653137207,1,11,5.97,existing_phase39_event,nc30228270,existing,0.3358311653137207
Puebla2017,7.099999904632568,6.876828193664551,6.917996088663737,0.0626892482628517,-0.2231717109680175,0,2,7.1,existing_phase39_event,us2000ar20,existing,0.2231717109680175
RatIslands2014,7.900000095367432,7.383309841156006,7.281252225240071,0.367268462484779,-0.5166902542114258,2,3,7.9,existing_phase39_event,usc000rki5,existing,0.5166902542114258
Ridgecrest2019,7.099999904632568,7.045484781265259,7.085171302159627,0.0629952511671942,-0.0545151233673095,4,130,7.1,existing_phase39_event,ci38457511,existing,0.0545151233673095
SandPoint2020,7.599999904632568,7.592070579528809,7.56668488184611,0.0376393046470545,-0.0079293251037597,4,9,7.6,existing_phase39_event,us6000c9hg,existing,0.0079293251037597
Simeonof2020,7.800000190734863,7.785054683685303,7.769546349843343,0.0341853253158556,-0.0149455070495605,4,19,7.8,existing_phase39_event,us7000asvb,existing,0.0149455070495605
Tehuantepec2017,8.199999809265137,7.907269239425659,7.903720140457153,0.0675607823863041,-0.2927305698394775,2,4,8.2,existing_phase39_event,us2000ahv0,existing,0.2927305698394775
Tohoku2011,9.100000381469728,8.740081787109375,8.75108289718628,0.0160465806177293,-0.3599185943603515,1,688,9.1,existing_phase39_event,official20110311054624120_30,existing,0.3599185943603515
Tokachi2003,8.15999984741211,8.223015308380127,8.227571646372477,0.0442541103009968,0.0630154609680175,3,228,8.16,existing_phase39_event,official20030925195006360_27,existing,0.0630154609680175
