fold,seed,event_mae,event_rmse,station_mae,station_rmse,test_event_count,station_count,checkpoint_sha256
0,17,0.2784466062273298,0.39665198108981753,0.21352500024652407,0.31730720464630513,7,653,601b632202630028d922ac38d9c25e66903fc8ad34e7e2bcac11692753ec8676
0,42,0.2340545313698905,0.33015351408442944,0.19888173274205254,0.28605081837566476,7,653,b2873d67f2ceaa95e1254f658d1b10db6d4ec5f3474d197b4de064c34e5e0e18
0,73,0.2529191289629255,0.38722052857398714,0.18174530280494397,0.29483460615178625,7,653,efc1f44808909ae1a210f235e0385801bca077c8be39d2d071e3018ded14342f
1,17,0.21276888251304626,0.23160891298819145,0.42352986573380885,0.4971690217366467,8,903,3a7e334c5669a74966e625f04d4688628cbae0250509bf08ad9853855e8d4c83
1,42,0.18828022480010986,0.2268216414472737,0.384234086223615,0.472947016732455,8,903,c09150d5e28288e9928a5b01109efd3905de38314bf1adfaede3eb39101bc46e
1,73,0.20973312854766846,0.23608318862521394,0.4208809782896327,0.49199601778104135,8,903,1b57d8805aa9af78ad1b79acd16a78adf6f761c15e1e972156b37a033366933b
2,17,0.24124747514724731,0.28513061979072807,0.271657183735641,0.34136168519268284,8,485,f2bef9d0eb2ca5cb3fdca4fa12ac5ab8a7f25413cb6b65faae54ada8ae7c7119
2,42,0.23066747188568115,0.2805781477529337,0.45114348401728366,0.5178891406487229,8,485,5e3deeb315b62ff43dcfb118993f3723133cff503a69c9bc563f7a3a1e151243
2,73,0.253248393535614,0.4271560498202886,0.24877884166756856,0.3181696569196662,8,485,e514f0d1a737b45b51ff897999dd50947d036eace5e2d08614555246fafa7920
3,17,0.22087350487709045,0.29608282324501967,0.26895276133534923,0.3584538134638796,8,403,bf4323aeda0f1978fbdbd1ede70a9bdd2e4a84f850dc4c82931c083803278837
3,42,0.22977101802825928,0.3181797312477407,0.25964383392712614,0.34701862324227783,8,403,c3864defb265d3b10349675560c57848287b3e987721becfa14e24cf6b65397f
3,73,0.20083141326904297,0.28149247650374537,0.2752278614280833,0.34676059039657425,8,403,bfecf7623211fb36c84d8de16d6b61543fab2416d5effab8794dc695437a9308
4,17,0.28905197978019714,0.43016098966780764,0.2873081340789795,0.40807931804298486,8,250,e879ff642bcc7c7bc68f0d74eb4e951e4e9b1d61ab9fdff29f82ea71f3b34b1f
4,42,0.3408932089805603,0.5207286844367823,0.3030132961273193,0.42643201745533116,8,250,c3923fc62c239907212beaf48287da29d266ed9b6fef021ac2791c84404b5d51
4,73,0.28705281019210815,0.5101787115941778,0.29474224090576173,0.4055845632966054,8,250,e95ef272bd4b99924906d15aae83b34f513130aae2c06a182d3119e52f16bfe6
