Epoch,n_runs,Train_Loss_median,Train_Loss_q25,Train_Loss_q75,Train_Data_Loss_median,Train_Data_Loss_q25,Train_Data_Loss_q75,Train_Phys_Loss_median,Train_Phys_Loss_q25,Train_Phys_Loss_q75,validation_station_mae_catalog_median,validation_station_mae_catalog_q25,validation_station_mae_catalog_q75,validation_event_mae_catalog_median,validation_event_mae_catalog_q25,validation_event_mae_catalog_q75,LR_median,LR_q25,LR_q75
1,15,1.5768134146016006,1.570583032168917,1.657191700395476,0.6268594793484733,0.6215678333864745,0.6450794867136775,1.022629965410481,0.9976040422916412,1.126491582867153,0.5600702698697749,0.41072651470269517,0.6723586807250976,0.7214422523975372,0.7192058712244034,0.7998035464968001,0.0001,0.0001,0.0001
2,15,1.3484692686732294,1.334180549850845,1.3914816599623285,0.4023379443432981,0.39165083947668833,0.43667681009609466,1.0509921336064478,1.0109009902647659,1.1321121526809956,0.5207782902668432,0.41791092314140377,0.633106460571289,0.6865723133087158,0.6826008856296539,0.7426737206322807,0.0001,0.0001,0.0001
3,15,1.191657588310178,1.153998118249615,1.2090501826009814,0.323977923867896,0.2970667080345212,0.3365933154712783,0.954385003232886,0.9291705465589131,1.000851243412258,0.4613752266795365,0.4183548674098315,0.5706942520141601,0.6420577168464661,0.6279226690530777,0.670449938092913,0.0001,0.0001,0.0001
4,15,1.0171009183656077,0.9768284330209306,1.0595661916637742,0.2682590939557998,0.2397642582654953,0.2886329700225913,0.8457308170665546,0.810116417801693,0.8774837027422482,0.4132704557319432,0.38187090686916075,0.5053866462707519,0.5902321679251534,0.5704905539751053,0.6049708468573434,0.0001,0.0001,0.0001
5,15,0.8559322276648756,0.7967367050800834,0.9453236607629145,0.2167447685929132,0.18909876080330945,0.2435000870302394,0.7592126132377887,0.6928292068737829,0.7877969497222264,0.3639269230087696,0.29614657667494304,0.45089588928222657,0.5623981952667236,0.5030442135674613,0.5768097341060638,0.0001,0.0001,0.0001
6,15,0.7301107528201766,0.6664139418436112,0.8362648295393273,0.1750571326477976,0.15548495970592147,0.20503915338612988,0.667083975781634,0.6011397017931713,0.7060019852629289,0.350485366821289,0.2722480289786369,0.4180257439909147,0.5036735534667969,0.470035970211029,0.5359451472759247,0.0001,0.0001,0.0001
7,15,0.6579075620683985,0.5827925381951671,0.7397702234536181,0.152862645049191,0.1380176090842663,0.17318313660108653,0.6119506440949466,0.5483412732868029,0.64240806944428,0.3271823177858263,0.28783059784673876,0.44196121798540144,0.4797574877738952,0.45595878362655634,0.5102869953427995,9.89183062363234e-05,9.89183062363234e-05,9.89183062363234e-05
8,15,0.6336726627525108,0.5343061660666024,0.671191541195646,0.1361487628943632,0.1330147458233379,0.15603692353821455,0.5774606708180484,0.5159021111890594,0.6022726220314949,0.3303468778706619,0.28818673320652277,0.41322020232753676,0.4439770579338074,0.36484224242823465,0.5152300000190735,9.572050015330874e-05,9.572050015330874e-05,9.572050015330874e-05
9,15,0.5820773159015415,0.5069185533487346,0.6068636991303628,0.1248135306877107,0.1169927047886318,0.14148362048232715,0.5275736651227847,0.49697098625839364,0.554291206538951,0.2824979047497783,0.2652487109044645,0.39420557109431853,0.4024264216423034,0.34126436710357666,0.4364285511629922,9.05463412215599e-05,9.05463412215599e-05,9.05463412215599e-05
10,15,0.5314047390432489,0.46583902983324366,0.5764873056184678,0.1198660906170356,0.10956384045228415,0.1332062229500027,0.4990839024915349,0.46462465560593946,0.5413319135056374,0.3166048596135325,0.28261894257435854,0.35368705771041586,0.3944776952266693,0.3566657091890062,0.4394003748893738,8.362196501476348e-05,8.362196501476348e-05,8.362196501476348e-05
11,15,0.5045105706312755,0.43309721451422445,0.5306937614219717,0.1106390577112003,0.09871227649679595,0.12258875277968424,0.4598256509234542,0.4301449468381531,0.5040466044503615,0.3199061120633509,0.28084095764160155,0.4466364388562658,0.3640128076076507,0.3446090519428253,0.44681271697793684,7.525e-05,7.525e-05,7.525e-05
12,15,0.4848369275537786,0.3998593762334452,0.5094564492535899,0.1097166310843175,0.09198428302720425,0.11408541534968844,0.4623099410471053,0.4074648529334959,0.48628691379898487,0.2841206283569336,0.26071977418722564,0.3433027249707773,0.3404352962970733,0.31939227879047394,0.41764377696173527,6.57963412215599e-05,6.57963412215599e-05,6.57963412215599e-05
13,15,0.4729602019480955,0.3847196238961423,0.4811219706580204,0.1006586536732094,0.0880046493811841,0.11184267946740015,0.4341196277962837,0.3966514437583981,0.4731631081464679,0.3081378784179687,0.26666619495654814,0.381367265140375,0.3678940236568451,0.3382609273706163,0.443374827504158,5.567415893174885e-05,5.567415893174885e-05,5.567415893174885e-05
14,15,0.430339140740507,0.3599953610313979,0.4652104087056091,0.0957624503621007,0.08564837102943094,0.1085720795292657,0.4221162732120976,0.3704691021422555,0.44169809285588435,0.3080152175562553,0.2591557214015475,0.35809847041622234,0.3331170380115509,0.2871086001396179,0.4022279126303536,4.532584106825116e-05,4.532584106825116e-05,4.532584106825116e-05
15,15,0.4156528265109226,0.3345775477759748,0.44547843742734733,0.0934149485771725,0.0853112620597425,0.09898115974340224,0.3960203773527028,0.35248118907665865,0.43299029683358947,0.2722791848723421,0.2555832907058986,0.3400759246201432,0.3360903263092041,0.2966390613998685,0.40390309265681673,3.5203658778440106e-05,3.5203658778440106e-05,3.5203658778440106e-05
16,15,0.4009868002868904,0.31936649887629553,0.4113332188610969,0.0886312679594933,0.0759522227571035,0.0939810014083079,0.3817069614289725,0.3434324482458587,0.40911094618229427,0.2771409255257062,0.2580358224849111,0.3359305381774902,0.3314162492752075,0.30940477550029755,0.38701823566641125,2.5750000000000013e-05,2.5750000000000013e-05,2.5750000000000013e-05
17,15,0.3896672412802611,0.3150191504400024,0.404383823694459,0.0859824264191011,0.077313724761732,0.0906334076858315,0.3818226981456334,0.33106360919397226,0.40556347567923384,0.2852190132141113,0.27424219438160025,0.2996211154190535,0.3266628980636596,0.27732062339782715,0.3573240552629743,1.7378034985236535e-05,1.7378034985236535e-05,1.7378034985236535e-05
