event,role,mw,n_stations,mechanism,depth_km,lat,lon,origin_time,endpoint_err,old_err,crowell_err,new_err
Napa2014,test,6.02,28,Strike slip,11.2,38.22,-122.31,2014-08-24T10:20:44,0.8368308544158936,0.6664206981658936,0.8946669147941693,
ak014cbigci8,test,6.2,4,Strike slip,108.9,61.9449,-151.816,2014-09-25T17:51:17.606000Z,0.9862442016601562,1.272101640701294,0.8638978682851466,
2016p661332,test,7.1,7,Normal,21.8,-36.979,179.52,2016-09-01T16:37:55Z,0.2249360084533691,0.3266310691833496,0.0494141627070483,
Puebla2017,test,7.1,2,Normal,48.0,18.55,-98.49,2017-09-19T18:14:38,-0.2533161640167236,-0.1674747467041015,-0.2355382028827062,
Ridgecrest2019,test,7.1,130,Strike slip,8.0,35.77,-117.6,2019-07-06T03:19:53,-0.0985965728759765,-0.0881762504577636,0.0654265570968224,
us7000i9bw,test,7.6,11,Reverse,26.943,18.4552,-102.9561,2022-09-19T18:05:08.217Z,-0.1609625816345214,-0.2401299476623535,0.0999128624349303,
Ecuador2016,test,7.8,20,Reverse,21.0,0.35,-79.93,2016-04-16T23:58:36,-0.0756659507751464,0.0863735675811767,-0.1983665402096255,
Tokachi2003,test,8.16,228,Reverse,27.0,41.81,143.91,2003-09-25T19:50:06,-0.2151544094085693,-0.036956787109375,-0.0453292057902654,
Iquique2014,test,8.2,20,Reverse,25.0,-19.61,-70.77,2014-04-01T23:46:47,-0.2950823307037353,-0.1762733459472656,-0.3468221968313081,
nc73821036,train,6.4,9,Strike slip,17.91,40.525,-124.423,2022-12-20T10:34:24.770000Z,,-0.0845880508422851,-0.0359056335345053,-0.1803278923034668
2013p543824,train,6.5,8,Strike slip,15.6,-41.598,174.323,2013-07-21T05:09:30Z,,-0.0539555549621582,-0.0621192363184626,-0.094203233718872
2013p613797,train,6.5,10,Reverse,7.5,-41.702,174.162,2013-08-16T02:31:05Z,,-0.0207300186157226,0.1840907210182507,-0.1125984191894531
Lefkada2015,train,6.5,3,Strike slip,11.0,38.67,20.6,2015-11-17T07:10:07,,-0.1341156959533691,0.0662364727878532,-0.0713930130004882
