地震名称,时间(UTC),震级(Mw),深度(km),台站数,震源机制,精度,误差原因解释
"Ridgecrest, California",2019-07-06 03:19:53,7.0,8.0,141,Strike-slip,"本研究(RP):7.18±0.27; 本研究(无RP):7.05±0.27; Golriz2023:7.93±0.42","走滑事件中 Golriz2023 可能因垂向通道噪声更高而系统性偏大。"
"El Mayor-Cucapah, Mexico",2010-04-04 22:40:42,7.2,10.0,30,Strike-slip,"本研究(RP):7.19±0.11; 本研究(无RP):7.17±0.14; Golriz2023:7.92±0.32","走滑事件中 Golriz2023 可能因垂向通道噪声更高而系统性偏大。"
"Pazarcik, Turkey (1 Hz)",2023-02-06 01:17:34,7.8,10.0,1,Strike-slip,"本研究(RP):7.62; 本研究(无RP):7.61; Golriz2023:8.26","仅 1 个台站；文中指出震源断层中等倾角与破裂复杂性可能影响估计。"
"Pazarcik, Turkey (5 Hz)",2023-02-06 01:17:34,7.8,10.0,1,Strike-slip,"本研究(RP):7.67; 本研究(无RP):7.68; Golriz2023:8.27","仅 1 个台站；5 Hz 可能略有改善但样本有限。"
"Elbistan, Turkey (1 Hz)",2023-02-06 10:24:48,7.7,7.4,2,Strike-slip,"本研究(RP):7.50±0.08; 本研究(无RP):7.49±0.09; Golriz2023:8.01±0.00","台站数较少；文中指出走滑事件的异常倾角与复杂性可能影响估计。"
"Elbistan, Turkey (5 Hz)",2023-02-06 10:24:48,7.7,7.4,4,Strike-slip,"本研究(RP):7.55±0.09; 本研究(无RP):7.56±0.08; Golriz2023:8.19±0.07","5 Hz 结果略好但样本有限，且对实时数据流有压力。"
"Sand Point, Alaska (Mw7.6; 2020-10-19)",2020-10-19 20:54:38,7.6,27.4,5,Strike-slip,"本研究(RP):7.63±0.11; 本研究(无RP):7.33±0.04; Golriz2023:7.83±0.12","无RP 时显著偏低；文中归因于两阶段破裂复杂性。"
"Sand Point, Alaska (Mw7.3; 2025-07-16)",2025-07-16 20:37:39,7.3,20.1,4,Strike-slip,"本研究(RP):7.57±0.32; 本研究(无RP):7.21±0.16; Golriz2023:7.97±0.35","与 2020 事件差异可能与台站配置变化或额外破裂复杂性有关。"
"Cape Mendocino, California",2024-12-05 18:44:21,7.0,10.0,29,Strike-slip,"本研究(RP):7.76±0.70; 本研究(无RP):7.39±0.29; Golriz2023:8.04±0.32","无RP 反而更好；文中认为可能因源参数报告不准/事件复杂。"
"Chiapas, Mexico",2017-09-08 04:49:19,8.2,47.4,14,Normal,"本研究(RP):8.11±0.05; 本研究(无RP):7.89±0.14; Golriz2023:8.52±0.08","正常断层事件若不做 RP 会系统性低估；RP 明显改善，Golriz2023 对该事件偏大约 0.32。"
"Rat Islands, Alaska",2014-06-23 20:53:09,7.9,109.0,2,Normal,"本研究(RP):7.73±0.05; 本研究(无RP):7.51±0.06; Golriz2023:8.25±0.02","仅 2 个台站；无RP 时对正常断层事件系统性低估。"
"Tokachi-Oki, Japan",2003-09-25 19:50:07,8.3,42.0,58,Thrust,"本研究(RP):8.23±0.39; 本研究(无RP):8.00±0.35; Golriz2023:8.36±0.17","推覆事件无RP 会持续低估；加入 RP 后与 Golriz2023 相近。"
"Maule, Chile",2010-02-27 06:34:11,8.8,22.9,3,Thrust,"本研究(RP):8.82±0.10; 本研究(无RP):8.57±0.07; Golriz2023:8.95±0.12","推覆事件无RP 会持续低估；大震低估更明显。"
"Tohoku-Oki, Japan",2011-03-11 05:46:24,9.1,23.7,97,Thrust,"本研究(RP):9.02±0.20; 本研究(无RP):8.79±0.37; Golriz2023:9.03±0.11","推覆事件无RP 会持续低估；加入 RP 后与 Golriz2023 相近。"
"Iquique, Chile",2014-04-01 23:46:47,8.1,25.0,15,Thrust,"本研究(RP):8.23±0.24; 本研究(无RP):7.61±0.55; Golriz2023:8.23±0.17","无RP 会显著低估且不确定性变大。"
"Illapel, Chile",2015-09-16 22:54:32,8.3,22.4,9,Thrust,"本研究(RP):8.41±0.41; 本研究(无RP):7.93±0.54; Golriz2023:8.42±0.25","无RP 会低估且不确定性变大。"
"Kilauea, Hawaii",2018-05-04 22:32:54,6.9,5.8,4,Thrust,"本研究(RP):7.28±0.14; 本研究(无RP):7.18±0.12; Golriz2023:7.38±0.25","两种新方法差异很小；文中将其与台站几何配置及 Mw≈7.2 的独立研究联系。"
"Simeonof, Alaska",2020-07-22 06:12:44,7.8,28.0,5,Thrust,"本研究(RP):7.90±0.35; 本研究(无RP):7.45±0.17; Golriz2023:7.84±0.37","推覆事件无RP 易低估；加入 RP 后更接近 Mw。"
"Chignik, Alaska",2021-07-29 06:15:49,8.2,35.0,6,Thrust,"本研究(RP):8.12±0.09; 本研究(无RP):7.68±0.25; Golriz2023:8.30±0.24","推覆事件无RP 易低估；加入 RP 后更接近 Mw。"
